date,Unit Code,Value
2008,EUR,0.679923
2009,EUR,0.716958
2010,EUR,0.754309
2011,EUR,0.718414
2012,EUR,0.778338
2013,EUR,0.752945
2014,EUR,0.752728
2015,EUR,0.901296
2016,EUR,0.903421
2017,EUR,0.885206
2018,EUR,0.846773
2019,EUR,0.893276
2020,EUR,0.875506
2008,EUR,0.718546
2009,EUR,0.694155
2010,EUR,0.748391
2011,EUR,0.772857
2012,EUR,0.75792
2013,EUR,0.725111
2014,EUR,0.823655
2015,EUR,0.918527
2016,EUR,0.948677
2017,EUR,0.83382
2018,EUR,0.873362
2019,EUR,0.890155
2020,EUR,0.81493
2008,EUR,0.806152
2009,EUR,0.794418
2010,EUR,0.792321
2011,EUR,0.780416
2012,EUR,0.774121
2013,EUR,0.755494
2014,EUR,0.751991
2015,EUR,0.755235
2016,EUR,0.729722
2017,EUR,0.721073
2018,EUR,0.713083
2019,EUR,0.707671
2020,EUR,0.711023
2008,EUR,0.859732
2009,EUR,0.849774
2010,EUR,0.840583
2011,EUR,0.830564
2012,EUR,0.833137
2013,EUR,0.818582
2014,EUR,0.814595
2015,EUR,0.821312
2016,EUR,0.796098
2017,EUR,0.79123
2018,EUR,0.778804
2019,EUR,0.77898
2008,EUR,0.814198
2009,EUR,0.817752
2010,EUR,0.802584
2011,EUR,0.800645
2012,EUR,0.788774
2013,EUR,0.772784
2014,EUR,0.772819
2015,EUR,0.774704
2016,EUR,0.749295
2017,EUR,0.744848
2018,EUR,0.733894
2019,EUR,0.733878
